Date,Segment,Type,Landing,Bouncing,Success,Control,Treatment
9/17/18,E,R,1,0,1,255,232
9/17/18,E,N,0,0,0,785,874
9/17/18,E,N,1,0,0,3505,3855
9/17/18,E,N,1,1,0,3794,3558
9/17/18,E,N,0,0,1,61,58
9/17/18,E,N,1,0,1,224,235
9/18/18,A,R,0,0,0,2892,4373
9/18/18,A,R,1,0,0,18155,15876
9/18/18,A,R,1,1,0,14048,14003
9/18/18,A,R,0,0,1,385,416
9/18/18,A,R,1,0,1,1733,1342
9/18/18,A,N,0,0,0,7621,6756
9/18/18,A,N,1,0,0,24929,24759
9/18/18,A,N,1,1,0,16448,15613
9/18/18,A,N,0,0,1,682,507
9/18/18,A,N,1,0,1,2063,2102
9/18/18,B,R,0,0,0,848,626
9/18/18,B,R,1,0,0,2782,1870
9/18/18,B,R,1,1,0,2016,1669
9/18/18,B,R,0,0,1,102,114
9/18/18,B,R,1,0,1,418,390
9/18/18,B,N,0,0,0,1315,1141
9/18/18,B,N,1,0,0,4648,4692
9/18/18,B,N,1,1,0,3158,3575
9/18/18,B,N,0,0,1,126,117
9/18/18,B,N,1,0,1,445,411
9/18/18,C,R,0,0,0,1127,1018
9/18/18,C,R,1,0,0,5108,5096
9/18/18,C,R,1,1,0,3493,3076
9/18/18,C,R,0,0,1,186,123
9/18/18,C,R,1,0,1,719,406
9/18/18,C,N,0,0,0,2023,1810
9/18/18,C,N,1,0,0,6586,5847
9/18/18,C,N,1,1,0,5148,5261
9/18/18,C,N,0,0,1,198,149
9/18/18,C,N,1,0,1,593,694
9/18/18,D,R,0,0,0,2734,2130
9/18/18,D,R,1,0,0,9748,8496
9/18/18,D,R,1,1,0,8380,5902
9/18/18,D,R,0,0,1,248,238
9/18/18,D,R,1,0,1,1037,855
9/18/18,D,N,0,0,0,3594,4233
9/18/18,D,N,1,0,0,16158,14534
9/18/18,D,N,1,1,0,10466,13164
9/18/18,D,N,0,0,1,383,315
9/18/18,D,N,1,0,1,1327,1215
9/18/18,E,R,0,0,0,495,612
9/18/18,E,R,1,0,0,1623,1755
9/18/18,E,R,1,1,0,1232,1705
9/18/18,E,R,0,0,1,132,113
9/18/18,E,R,1,0,1,243,192
9/18/18,E,N,0,0,0,1035,807
9/18/18,E,N,1,0,0,4021,3228
9/18/18,E,N,1,1,0,3136,2125
9/18/18,E,N,0,0,1,80,77
9/18/18,E,N,1,0,1,333,334
9/19/18,A,R,0,0,0,4555,3780
9/19/18,A,R,1,0,0,23429,16439
9/19/18,A,R,1,1,0,13092,15420
9/19/18,A,R,0,0,1,451,301
9/19/18,A,R,1,0,1,1641,1387
9/19/18,A,N,0,0,0,6553,5803
9/19/18,A,N,1,0,0,23600,24560
9/19/18,A,N,1,1,0,17667,17597
9/19/18,A,N,0,0,1,440,462
9/19/18,A,N,1,0,1,2287,2004
9/19/18,B,R,0,0,0,680,586
9/19/18,B,R,1,0,0,3461,3444
9/19/18,B,R,1,1,0,2179,2559
9/19/18,B,R,0,0,1,111,103
9/19/18,B,R,1,0,1,332,338
9/19/18,B,N,0,0,0,1057,1213
9/19/18,B,N,1,0,0,4912,4186
9/19/18,B,N,1,1,0,3040,2613
9/19/18,B,N,0,0,1,76,81
9/19/18,B,N,1,0,1,443,359
9/19/18,C,R,0,0,0,1101,1035
9/19/18,C,R,1,0,0,4945,3277
9/19/18,C,R,1,1,0,3276,3004
9/19/18,C,R,0,0,1,175,129
9/19/18,C,R,1,0,1,569,284
9/19/18,C,N,0,0,0,1583,1553
9/19/18,C,N,1,0,0,7253,8356
9/19/18,C,N,1,1,0,6030,6527
9/19/18,C,N,0,0,1,156,149
9/19/18,C,N,1,0,1,466,579
9/19/18,D,R,0,0,0,2451,2706
9/19/18,D,R,1,0,0,11813,9109
9/19/18,D,R,1,1,0,9369,7105
9/19/18,D,R,0,0,1,301,288
9/19/18,D,R,1,0,1,1054,933
9/19/18,D,N,0,0,0,4279,4153
9/19/18,D,N,1,0,0,14770,14910
9/19/18,D,N,1,1,0,12651,13868
9/19/18,D,N,0,0,1,402,327
9/19/18,D,N,1,0,1,1360,1294
9/19/18,E,R,0,0,0,539,525
9/19/18,E,R,1,0,0,2548,2079
9/19/18,E,R,1,1,0,1424,1700
9/19/18,E,R,0,0,1,123,86
9/19/18,E,R,1,0,1,259,245
9/19/18,E,N,0,0,0,959,733
9/19/18,E,N,1,0,0,3087,3139
9/19/18,E,N,1,1,0,3270,2595
9/19/18,E,N,0,0,1,67,82
9/19/18,E,N,1,0,1,307,316
9/20/18,A,R,0,0,0,4253,4241
9/20/18,A,R,1,0,0,24297,18075
9/20/18,A,R,1,1,0,12321,13424
9/20/18,A,R,0,0,1,372,396
9/20/18,A,R,1,0,1,1400,1026
9/20/18,A,N,0,0,0,6902,7240
9/20/18,A,N,1,0,0,18311,22099
9/20/18,A,N,1,1,0,21351,20262
9/20/18,A,N,0,0,1,532,428
9/20/18,A,N,1,0,1,1859,1723
9/20/18,B,R,0,0,0,879,832
9/20/18,B,R,1,0,0,3026,3153
9/20/18,B,R,1,1,0,1874,2446
9/20/18,B,R,0,0,1,136,79
9/20/18,B,R,1,0,1,296,263
9/20/18,B,N,0,0,0,1229,1183
9/20/18,B,N,1,0,0,4614,3964
9/20/18,B,N,1,1,0,3638,3313
9/20/18,B,N,0,0,1,92,80
9/20/18,B,N,1,0,1,305,294
9/20/18,C,R,0,0,0,1113,1348
9/20/18,C,R,1,0,0,4768,5219
9/20/18,C,R,1,1,0,3872,3998
9/20/18,C,R,0,0,1,103,132
9/20/18,C,R,1,0,1,388,364
9/20/18,C,N,0,0,0,1773,1408
9/20/18,C,N,1,0,0,5794,5661
9/20/18,C,N,1,1,0,5733,5783
9/20/18,C,N,0,0,1,121,127
9/20/18,C,N,1,0,1,481,424
9/20/18,D,R,0,0,0,2943,2654
9/20/18,D,R,1,0,0,7983,13521
9/20/18,D,R,1,1,0,8557,8117
9/20/18,D,R,0,0,1,180,186
9/20/18,D,R,1,0,1,706,702
9/20/18,D,N,0,0,0,4104,3744
9/20/18,D,N,1,0,0,18896,13746
9/20/18,D,N,1,1,0,12503,15036
9/20/18,D,N,0,0,1,278,258
9/20/18,D,N,1,0,1,1373,1223
9/20/18,E,R,0,0,0,558,512
9/20/18,E,R,1,0,0,2815,1760
9/20/18,E,R,1,1,0,1992,1854
9/20/18,E,R,0,0,1,85,116
9/20/18,E,R,1,0,1,290,201
9/20/18,E,N,0,0,0,944,1010
9/20/18,E,N,1,0,0,2760,3383
9/20/18,E,N,1,1,0,2540,2331
9/20/18,E,N,0,0,1,57,66
9/20/18,E,N,1,0,1,271,260
9/21/18,A,R,0,0,0,4312,4532
9/21/18,A,R,1,0,0,17097,14589
9/21/18,A,R,1,1,0,15818,13026
9/21/18,A,R,0,0,1,393,319
9/21/18,A,R,1,0,1,1375,1183
9/21/18,A,N,0,0,0,5732,5726
9/21/18,A,N,1,0,0,20899,21114
9/21/18,A,N,1,1,0,21535,23609
9/21/18,A,N,0,0,1,387,386
9/21/18,A,N,1,0,1,1771,1694
9/21/18,B,R,0,0,0,828,830
9/21/18,B,R,1,0,0,3254,2721
9/21/18,B,R,1,1,0,2776,1772
9/21/18,B,R,0,0,1,66,109
9/21/18,B,R,1,0,1,218,242
9/21/18,B,N,0,0,0,1291,1192
9/21/18,B,N,1,0,0,4219,3895
9/21/18,B,N,1,1,0,3654,4408
9/21/18,B,N,0,0,1,81,78
9/21/18,B,N,1,0,1,312,275
9/21/18,C,R,0,0,0,904,1209
9/21/18,C,R,1,0,0,4104,4548
9/21/18,C,R,1,1,0,3980,4943
9/21/18,C,R,0,0,1,194,111
9/21/18,C,R,1,0,1,396,377
9/21/18,C,N,0,0,0,2104,1646
9/21/18,C,N,1,0,0,7230,6159
9/21/18,C,N,1,1,0,6120,5856
9/21/18,C,N,0,0,1,146,139
9/21/18,C,N,1,0,1,518,506
9/21/18,D,R,0,0,0,3069,2047
9/21/18,D,R,1,0,0,14349,8968
9/21/18,D,R,1,1,0,8293,10625
9/21/18,D,R,0,0,1,226,225
9/21/18,D,R,1,0,1,783,624
9/21/18,D,N,0,0,0,3715,4066
9/21/18,D,N,1,0,0,14072,16475
9/21/18,D,N,1,1,0,17254,12727
9/21/18,D,N,0,0,1,280,312
9/21/18,D,N,1,0,1,1049,1013
9/21/18,E,R,0,0,0,614,503
9/21/18,E,R,1,0,0,1870,1843
9/21/18,E,R,1,1,0,1907,2254
9/21/18,E,R,0,0,1,74,40
9/21/18,E,R,1,0,1,270,252
9/21/18,E,N,0,0,0,975,823
9/21/18,E,N,1,0,0,3284,3160
9/21/18,E,N,1,1,0,2926,2644
9/21/18,E,N,0,0,1,63,58
9/21/18,E,N,1,0,1,229,218
9/22/18,A,R,0,0,0,3559,4769
9/22/18,A,R,1,0,0,16394,16683
9/22/18,A,R,1,1,0,17167,15829
9/22/18,A,R,0,0,1,285,286
9/22/18,A,R,1,0,1,1369,1126
9/22/18,A,N,0,0,0,6614,5470
9/22/18,A,N,1,0,0,30601,27127
9/22/18,A,N,1,1,0,24158,24660
9/22/18,A,N,0,0,1,424,364
9/22/18,A,N,1,0,1,1663,1529
9/22/18,B,R,0,0,0,884,754
9/22/18,B,R,1,0,0,2725,3125
9/22/18,B,R,1,1,0,2769,2703
9/22/18,B,R,0,0,1,75,67
9/22/18,B,R,1,0,1,302,291
9/22/18,B,N,0,0,0,1278,1111
9/22/18,B,N,1,0,0,5348,4221
9/22/18,B,N,1,1,0,3944,3507
9/22/18,B,N,0,0,1,86,82
9/22/18,B,N,1,0,1,275,271
9/22/18,C,R,0,0,0,1004,1203
9/22/18,C,R,1,0,0,5543,4502
9/22/18,C,R,1,1,0,3795,4907
9/22/18,C,R,0,0,1,90,157
9/22/18,C,R,1,0,1,382,349
9/22/18,C,N,0,0,0,1908,1293
9/22/18,C,N,1,0,0,6043,6832
9/22/18,C,N,1,1,0,6501,6674
9/22/18,C,N,0,0,1,113,106
9/22/18,C,N,1,0,1,462,393
9/22/18,D,R,0,0,0,2459,2418
9/22/18,D,R,1,0,0,8495,11650
9/22/18,D,R,1,1,0,12890,9101
9/22/18,D,R,0,0,1,260,174
9/22/18,D,R,1,0,1,733,678
9/22/18,D,N,0,0,0,4005,3957
9/22/18,D,N,1,0,0,16396,13803
9/22/18,D,N,1,1,0,12988,18482
9/22/18,D,N,0,0,1,310,301
9/22/18,D,N,1,0,1,980,844
9/22/18,E,R,0,0,0,522,586
9/22/18,E,R,1,0,0,2308,2066
9/22/18,E,R,1,1,0,1954,1946
9/22/18,E,R,0,0,1,53,67
9/22/18,E,R,1,0,1,272,218
9/22/18,E,N,0,0,0,826,661
9/22/18,E,N,1,0,0,3366,3145
9/22/18,E,N,1,1,0,3043,2550
9/22/18,E,N,0,0,1,62,68
9/22/18,E,N,1,0,1,273,288
9/23/18,A,R,0,0,0,4908,3724
9/23/18,A,R,1,0,0,15597,17856
9/23/18,A,R,1,1,0,9496,13576
9/23/18,A,R,0,0,1,454,405
9/23/18,A,R,1,0,1,1808,1434
9/23/18,A,N,0,0,0,5667,6605
9/23/18,A,N,1,0,0,31633,22132
9/23/18,A,N,1,1,0,19165,13635
9/23/18,A,N,0,0,1,586,541
9/23/18,A,N,1,0,1,2491,2471
9/23/18,B,R,0,0,0,840,721
9/23/18,B,R,1,0,0,3907,3278
9/23/18,B,R,1,1,0,1757,2618
9/23/18,B,R,0,0,1,137,101
9/23/18,B,R,1,0,1,308,179
9/23/18,B,N,0,0,0,1040,968
9/23/18,B,N,1,0,0,4483,4501
9/23/18,B,N,1,1,0,3633,2901
9/23/18,B,N,0,0,1,124,100
9/23/18,B,N,1,0,1,396,490
9/23/18,C,R,0,0,0,1325,1022
9/23/18,C,R,1,0,0,4879,4204
9/23/18,C,R,1,1,0,3265,2620
9/23/18,C,R,0,0,1,188,163
9/23/18,C,R,1,0,1,403,419
9/23/18,C,N,0,0,0,1555,1802
9/23/18,C,N,1,0,0,7560,7994
9/23/18,C,N,1,1,0,3945,5200
9/23/18,C,N,0,0,1,178,166
9/23/18,C,N,1,0,1,693,587
9/23/18,D,R,0,0,0,2305,1734
9/23/18,D,R,1,0,0,9748,9479
9/23/18,D,R,1,1,0,10361,8222
9/23/18,D,R,0,0,1,277,303
9/23/18,D,R,1,0,1,1039,896
9/23/18,D,N,0,0,0,4138,4090
9/23/18,D,N,1,0,0,19857,19705
9/23/18,D,N,1,1,0,10081,10924
9/23/18,D,N,0,0,1,405,330
9/23/18,D,N,1,0,1,1736,1661
9/23/18,E,R,0,0,0,525,410
9/23/18,E,R,1,0,0,2732,2065
9/23/18,E,R,1,1,0,1945,1651
9/23/18,E,R,0,0,1,72,129
9/23/18,E,R,1,0,1,249,248
9/23/18,E,N,0,0,0,894,947
9/23/18,E,N,1,0,0,3811,3555
9/23/18,E,N,1,1,0,2023,2476
9/23/18,E,N,0,0,1,88,77
9/23/18,E,N,1,0,1,342,373
9/24/18,A,R,0,0,0,5100,6343
9/24/18,A,R,1,0,0,20306,19984
9/24/18,A,R,1,1,0,9659,9334
9/24/18,A,R,0,0,1,660,693
9/24/18,A,R,1,0,1,5579,5210
9/24/18,A,N,0,0,0,7747,6930
9/24/18,A,N,1,0,0,31989,29748
9/24/18,A,N,1,1,0,13780,13289
9/24/18,A,N,0,0,1,906,798
9/24/18,A,N,1,0,1,3833,3170
9/24/18,B,R,0,0,0,1045,771
9/24/18,B,R,1,0,0,3751,2492
9/24/18,B,R,1,1,0,1668,1691
9/24/18,B,R,0,0,1,365,291
9/24/18,B,R,1,0,1,596,703
9/24/18,B,N,0,0,0,1312,1480
9/24/18,B,N,1,0,0,4360,5116
9/24/18,B,N,1,1,0,2551,2372
9/24/18,B,N,0,0,1,196,155
9/24/18,B,N,1,0,1,781,669
9/24/18,C,R,0,0,0,1128,1495
9/24/18,C,R,1,0,0,5536,5053
9/24/18,C,R,1,1,0,2151,2567
9/24/18,C,R,0,0,1,217,199
9/24/18,C,R,1,0,1,821,735
9/24/18,C,N,0,0,0,2061,1553
9/24/18,C,N,1,0,0,7686,7317
9/24/18,C,N,1,1,0,4778,4116
9/24/18,C,N,0,0,1,315,285
9/24/18,C,N,1,0,1,1066,1110
9/24/18,D,R,0,0,0,2502,3011
9/24/18,D,R,1,0,0,15933,13510
9/24/18,D,R,1,1,0,5100,6454
9/24/18,D,R,0,0,1,519,380
9/24/18,D,R,1,0,1,1851,1270
9/24/18,D,N,0,0,0,5428,3948
9/24/18,D,N,1,0,0,17647,18411
9/24/18,D,N,1,1,0,9677,7804
9/24/18,D,N,0,0,1,624,636
9/24/18,D,N,1,0,1,2574,2866
9/24/18,E,R,0,0,0,591,432
9/24/18,E,R,1,0,0,2538,2595
9/24/18,E,R,1,1,0,1524,1735
9/24/18,E,R,0,0,1,178,102
9/24/18,E,R,1,0,1,364,587
9/24/18,E,N,0,0,0,1086,1025
9/24/18,E,N,1,0,0,3881,3276
9/24/18,E,N,1,1,0,2311,1974
9/24/18,E,N,0,0,1,126,128
9/24/18,E,N,1,0,1,706,483
9/25/18,A,R,0,0,0,3600,3872
9/25/18,A,R,1,0,0,18424,15981
9/25/18,A,R,1,1,0,9398,10435
9/25/18,A,R,0,0,1,474,508
9/25/18,A,R,1,0,1,1370,1369
9/25/18,A,N,0,0,0,6290,5827
9/25/18,A,N,1,0,0,27817,26974
9/25/18,A,N,1,1,0,20297,18867
9/25/18,A,N,0,0,1,704,676
9/25/18,A,N,1,0,1,2667,2404
9/25/18,B,R,0,0,0,671,649
9/25/18,B,R,1,0,0,2857,3628
9/25/18,B,R,1,1,0,1837,1810
9/25/18,B,R,0,0,1,131,94
9/25/18,B,R,1,0,1,349,326
9/25/18,B,N,0,0,0,1368,1155
9/25/18,B,N,1,0,0,5163,4053
9/25/18,B,N,1,1,0,2937,2700
9/25/18,B,N,0,0,1,130,137
9/25/18,B,N,1,0,1,583,467
9/25/18,C,R,0,0,0,1164,1122
9/25/18,C,R,1,0,0,3839,4564
9/25/18,C,R,1,1,0,3076,3052
9/25/18,C,R,0,0,1,159,179
9/25/18,C,R,1,0,1,641,518
9/25/18,C,N,0,0,0,1808,1810
9/25/18,C,N,1,0,0,6860,5944
9/25/18,C,N,1,1,0,4197,4596
9/25/18,C,N,0,0,1,185,168
9/25/18,C,N,1,0,1,680,624
9/25/18,D,R,0,0,0,2979,2780
9/25/18,D,R,1,0,0,12477,10186
9/25/18,D,R,1,1,0,8049,6176
9/25/18,D,R,0,0,1,316,208
9/25/18,D,R,1,0,1,1327,1010
9/25/18,D,N,0,0,0,3793,3518
9/25/18,D,N,1,0,0,16801,17118
9/25/18,D,N,1,1,0,7596,10638
9/25/18,D,N,0,0,1,432,425
9/25/18,D,N,1,0,1,1431,1731
9/25/18,E,R,0,0,0,555,425
9/25/18,E,R,1,0,0,1895,2263
9/25/18,E,R,1,1,0,1445,1746
9/25/18,E,R,0,0,1,81,97
9/25/18,E,R,1,0,1,274,250
9/25/18,E,N,0,0,0,842,914
9/25/18,E,N,1,0,0,3262,2742
9/25/18,E,N,1,1,0,1924,1727
9/25/18,E,N,0,0,1,78,77
9/25/18,E,N,1,0,1,296,351
9/26/18,A,R,0,0,0,3976,3914
9/26/18,A,R,1,0,0,21447,18162
9/26/18,A,R,1,1,0,10705,12309
9/26/18,A,R,0,0,1,463,421
9/26/18,A,R,1,0,1,1472,1534
9/26/18,A,N,0,0,0,6751,5963
9/26/18,A,N,1,0,0,28817,25404
9/26/18,A,N,1,1,0,16055,15297
9/26/18,A,N,0,0,1,553,466
9/26/18,A,N,1,0,1,2796,2185
9/26/18,B,R,0,0,0,856,826
9/26/18,B,R,1,0,0,3070,3059
9/26/18,B,R,1,1,0,2484,2499
9/26/18,B,R,0,0,1,125,75
9/26/18,B,R,1,0,1,304,284
9/26/18,B,N,0,0,0,1247,1067
9/26/18,B,N,1,0,0,4551,4196
9/26/18,B,N,1,1,0,3535,3544
9/26/18,B,N,0,0,1,86,84
9/26/18,B,N,1,0,1,357,287
9/26/18,C,R,0,0,0,1151,1070
9/26/18,C,R,1,0,0,4538,4970
9/26/18,C,R,1,1,0,3490,3562
9/26/18,C,R,0,0,1,135,104
9/26/18,C,R,1,0,1,543,375
9/26/18,C,N,0,0,0,1581,1591
9/26/18,C,N,1,0,0,8176,6391
9/26/18,C,N,1,1,0,5028,5166
9/26/18,C,N,0,0,1,152,133
9/26/18,C,N,1,0,1,570,631
9/26/18,D,R,0,0,0,2110,3392
9/26/18,D,R,1,0,0,10838,9489
9/26/18,D,R,1,1,0,10214,6981
9/26/18,D,R,0,0,1,232,254
9/26/18,D,R,1,0,1,872,864
9/26/18,D,N,0,0,0,4870,3565
9/26/18,D,N,1,0,0,16248,16259
9/26/18,D,N,1,1,0,12607,15041
9/26/18,D,N,0,0,1,428,312
9/26/18,D,N,1,0,1,1388,1230
9/26/18,E,R,0,0,0,558,644
9/26/18,E,R,1,0,0,1992,1606
9/26/18,E,R,1,1,0,2119,1773
9/26/18,E,R,0,0,1,142,76
9/26/18,E,R,1,0,1,187,224
9/26/18,E,N,0,0,0,797,629
9/26/18,E,N,1,0,0,4084,3481
9/26/18,E,N,1,1,0,1861,1881
9/26/18,E,N,0,0,1,69,77
9/26/18,E,N,1,0,1,248,254
9/27/18,A,R,0,0,0,4263,4142
9/27/18,A,R,1,0,0,20248,16595
9/27/18,A,R,1,1,0,12056,14293
9/27/18,A,R,0,0,1,352,351
9/27/18,A,R,1,0,1,1341,1559
9/27/18,A,N,0,0,0,6705,5906
9/27/18,A,N,1,0,0,25587,24252
9/27/18,A,N,1,1,0,22543,20978
9/27/18,A,N,0,0,1,505,495
9/27/18,A,N,1,0,1,2293,1840
9/27/18,B,R,0,0,0,731,673
9/27/18,B,R,1,0,0,3990,4380
9/27/18,B,R,1,1,0,2349,2373
9/27/18,B,R,0,0,1,84,117
9/27/18,B,R,1,0,1,262,225
9/27/18,B,N,0,0,0,1003,902
9/27/18,B,N,1,0,0,4340,3835
9/27/18,B,N,1,1,0,3612,3715
9/27/18,B,N,0,0,1,105,94
9/27/18,B,N,1,0,1,395,333
9/27/18,C,R,0,0,0,1071,843
9/27/18,C,R,1,0,0,3824,3846
9/27/18,C,R,1,1,0,3742,3346
9/27/18,C,R,0,0,1,83,167
9/27/18,C,R,1,0,1,401,432
9/27/18,C,N,0,0,0,1819,1795
9/27/18,C,N,1,0,0,7483,7288
9/27/18,C,N,1,1,0,5602,6652
9/27/18,C,N,0,0,1,131,108
9/27/18,C,N,1,0,1,537,448
9/27/18,D,R,0,0,0,2512,1955
9/27/18,D,R,1,0,0,10600,10561
9/27/18,D,R,1,1,0,7534,7427
9/27/18,D,R,0,0,1,297,277
9/27/18,D,R,1,0,1,936,714
9/27/18,D,N,0,0,0,3709,3962
9/27/18,D,N,1,0,0,15976,15160
9/27/18,D,N,1,1,0,11655,10896
9/27/18,D,N,0,0,1,351,323
9/27/18,D,N,1,0,1,1399,1512
9/27/18,E,R,0,0,0,519,620
9/27/18,E,R,1,0,0,1516,1974
9/27/18,E,R,1,1,0,1517,1839
9/27/18,E,R,0,0,1,130,72
9/27/18,E,R,1,0,1,188,295
9/27/18,E,N,0,0,0,837,723
9/27/18,E,N,1,0,0,4009,3059
9/27/18,E,N,1,1,0,2613,2164
9/27/18,E,N,0,0,1,71,48
9/27/18,E,N,1,0,1,304,257
9/28/18,A,R,0,0,0,4091,3616
9/28/18,A,R,1,0,0,19264,22148
9/28/18,A,R,1,1,0,16174,14295
9/28/18,A,R,0,0,1,451,366
9/28/18,A,R,1,0,1,1399,1111
9/28/18,A,N,0,0,0,6001,5427
9/28/18,A,N,1,0,0,27146,22288
9/28/18,A,N,1,1,0,21397,21812
9/28/18,A,N,0,0,1,431,462
9/28/18,A,N,1,0,1,1886,1635
9/28/18,B,R,0,0,0,820,1004
9/28/18,B,R,1,0,0,3096,3127
9/28/18,B,R,1,1,0,2456,2066
9/28/18,B,R,0,0,1,117,64
9/28/18,B,R,1,0,1,239,223
9/28/18,B,N,0,0,0,1359,1064
9/28/18,B,N,1,0,0,4906,4126
9/28/18,B,N,1,1,0,3433,4281
9/28/18,B,N,0,0,1,98,81
9/28/18,B,N,1,0,1,360,371
9/28/18,C,R,0,0,0,1373,1280
9/28/18,C,R,1,0,0,5227,4919
9/28/18,C,R,1,1,0,3557,3600
9/28/18,C,R,0,0,1,165,121
9/28/18,C,R,1,0,1,442,344
9/28/18,C,N,0,0,0,1827,1550
9/28/18,C,N,1,0,0,7045,6148
9/28/18,C,N,1,1,0,6319,5975
9/28/18,C,N,0,0,1,129,133
9/28/18,C,N,1,0,1,540,506
9/28/18,D,R,0,0,0,2757,2413
9/28/18,D,R,1,0,0,11734,10491
9/28/18,D,R,1,1,0,8205,9099
9/28/18,D,R,0,0,1,224,220
9/28/18,D,R,1,0,1,625,609
9/28/18,D,N,0,0,0,4634,4372
9/28/18,D,N,1,0,0,16507,17577
9/28/18,D,N,1,1,0,13735,11459
9/28/18,D,N,0,0,1,285,230
9/28/18,D,N,1,0,1,1107,1110
9/28/18,E,R,0,0,0,419,447
9/28/18,E,R,1,0,0,2617,2789
9/28/18,E,R,1,1,0,1925,1683
9/28/18,E,R,0,0,1,64,63
9/28/18,E,R,1,0,1,270,223
9/28/18,E,N,0,0,0,1169,957
9/28/18,E,N,1,0,0,2935,2673
9/28/18,E,N,1,1,0,2783,2929
9/28/18,E,N,0,0,1,60,64
9/28/18,E,N,1,0,1,256,240
9/29/18,A,R,0,0,0,5436,4583
9/29/18,A,R,1,0,0,15757,12993
9/29/18,A,R,1,1,0,14171,12066
9/29/18,A,R,0,0,1,381,330
9/29/18,A,R,1,0,1,1382,1326
9/29/18,A,N,0,0,0,6583,5626
9/29/18,A,N,1,0,0,24816,22148
9/29/18,A,N,1,1,0,23300,23530
9/29/18,A,N,0,0,1,475,406
9/29/18,A,N,1,0,1,2210,1750
9/29/18,B,R,0,0,0,658,700
